video_id,R1,G1,B1,W1,R2,G2,B2,W2,R3,G3,B3,W3
7328709134126206241,213,209,218,0.6202678571428571,27,85,126,0.20875,118,150,187,0.1709821428571428
7326123173311728929,52,54,70,0.1601785714285714,188,190,199,0.4679910714285714,92,112,148,0.3718303571428571
7325724813115346208,192,193,197,0.5608035714285714,67,54,63,0.22125,102,122,154,0.2179464285714285
7324696131143847201,60,18,28,0.0539880952380952,226,222,230,0.8300595238095239,142,149,166,0.1159523809523809
7324283735749266721,120,135,151,0.1543154761904762,228,227,240,0.648125,34,40,47,0.1975595238095238
7323972466445946145,204,204,216,0.8157857142857143,17,30,35,0.0941785714285714,140,144,155,0.0900357142857142
7323612868484631840,194,210,225,0.264077380952381,38,48,72,0.4130654761904762,68,132,196,0.3228571428571428
7323108113698147616,134,158,191,0.2781547619047619,28,81,117,0.3011309523809524,221,219,228,0.4207142857142857
7320909330314775840,48,52,74,0.4254761904761904,69,136,202,0.3273809523809524,197,213,226,0.2471428571428571
7320159598290226464,186,191,195,0.29625,56,105,156,0.4808214285714285,42,53,69,0.2229285714285714
7319513643534568736,154,137,100,0.3399404761904762,41,67,101,0.3808928571428571,208,201,183,0.2791666666666667
7318707614332849441,52,80,117,0.3476339285714285,211,217,221,0.3016071428571428,123,149,174,0.3507589285714286
7317664309432077600,192,198,205,0.2349107142857142,53,71,98,0.4630654761904761,107,128,152,0.3020238095238095
7317307650499251488,36,44,58,0.2494196428571428,180,199,215,0.4958482142857143,95,121,152,0.2547321428571428
7316470398261021985,44,56,73,0.2386428571428571,186,190,194,0.3011785714285714,56,106,158,0.4601785714285714
7316159323728661792,132,137,148,0.3575,29,47,59,0.1167142857142857,215,213,221,0.5257857142857143
7312076882822909217,162,188,205,0.2026530612244897,67,109,162,0.4969387755102041,90,79,67,0.3004081632653061
7311663059695570208,195,199,204,0.2464880952380952,85,117,159,0.4299404761904762,99,82,67,0.3235714285714285
7311263969220644129,179,183,197,0.4936071428571428,51,60,80,0.18925,79,114,165,0.3171428571428571
