video_id,nb_textbloc
7205134218328902917,0
7191896362630302981,0
7190655063470116101,0
7176549919933664517,0
7164417550791494918,3
7163942959916895493,0
7161307348827426053,0
7158890098770119942,0
7152911692282809606,0
7137955446320565510,0
7125703838497131781,2
7115325407318052102,0
7114675214583155973,0
7114309168302984454,0
7110099088661548293,0
7107863534549110022,0
7096387117462359302,0
7094149805496159494,4
7091569180054490373,0
7085631257542954246,0
7080545682058169605,0
7076134412487855366,0
7072774694214044934,0
7070176633931549958,0
7069805338601606406,0
7067959925141474565,0
7067578500101803269,0
7057846707651939590,0
7051617295818362117,0
7040071170363788550,0
7036282180816932102,0
6944298636553604358,2
6943534360066804998,0
6940187794534960389,0
6919872357288971521,0
7597370054556011798,0
7591860205567151382,0
7590299923803884803,0
7587833111010954518,0
7587702184708558102,2
7586610643130764566,1
7580401530428394775,1
7579238923172547842,2
7572235624627899670,0
7572223162520177942,0
7572210786991344918,1
7572210750937107734,2
7569964600523853078,4
7565230748026899734,0
7558085942557347094,2
7556260834817723670,0
7555760932794764566,3
7554403190200945942,0
7553663983383858454,0
7549175046128831766,0
7547707789863406870,0
7542515768215211286,0
7538370537211432214,0
7538076349500689666,0
7535840388725378306,0
7529912051498552598,0
7528398053666016534,0
7523190975850679554,2
7518400955877199127,0
7517305745210232086,0
7516934430083091734,0
7515834191922072854,0
7514700901009886486,0
7512478582627732758,0
7508723396641852694,0
7506824474902433026,0
7500939642972212502,0
7491219464474856727,0
7486043762590895382,0
7483888039303843094,5
7483430893965626646,1
7479068329584364823,0
7477287305078934786,0
7475273206497086742,2
7474850979473640726,0
7473874393719000342,0
7467999174936644886,0
7467185543240109345,0
7466084820825787680,0
7465291116045208865,0
7464875419959921952,0
7459384907962305825,0
7447515391426825504,0
7444957131670949142,0
7444192177149742358,0
7439254923365059873,0
7437476740533865761,0
7431201197672975648,6
7429721456851864864,1
7426709076924484897,0
7425904564697632032,2
7415546238927523104,0
7402923905754746145,0
7401059521860209952,0
7400010201476123937,0
7396981634572078369,0
7396708038398266656,0
7394757283214806305,0
7393953054967581985,0
7393260705048268065,4
7392879054988397856,4
7388136382436281633,0
7385258008760028448,0
7382840415893998880,1
7381446389819018529,0
7369943098031443233,0
7357327030335114528,0
7355500880721939744,0
7354375095868984608,0
7350265065762819360,0
7348433044216253729,0
7345082142235413793,0
7344271684406349088,0
7342531903209114913,0
7342403362714914080,0
7340682108735671584,0
7338384626773216545,0
7337687297132973344,0
7337328365147295009,0
7336662438282120481,0
7336480513269583136,0
7336193209883839776,6
7335348681832418593,6
7335020484637068576,0
7333604507793853728,0
7332775399883033888,4
7332156358902500640,0
7331017914612567329,0
7329087770905840928,0
7327632037437820193,0
7326887540705873185,0
7324339550283664672,0
7323194315415588129,0
7322866542985710881,0
7321969929564065057,0
7318769443222359329,0
7318026666939256096,0
7317653042533305633,0
7317290713673190688,0
7316431760194096416,1
7314335987033738528,3
7314256868556213537,0
7310606511775026464,1
7308389510113512737,0
7306457226254781729,0
7304693853758491936,0
7302352085796916513,4
7297157611294706976,0
7296501143700606241,0
7277906809787059489,0
7261564389075995930,6
7261562285791956251,9
7261499359819336986,1
7215238321247751430,1
7211565992852475141,0
7202617948983315717,0
7199586123952311557,4
7195225752541875462,0
7193338808870456582,0
7192237337412177157,2
7182218891702127877,1
7179637090932509958,0
7173707401302920453,0
7169948893805825285,0
7164769032430767365,0
7163552631053503749,3
7162174902865251589,0
7155814731897376006,2
7146479472022277381,0
7145813168818900229,5
7130620750842678533,4
7088705916027063557,3
7087822626005060870,2
7084890005491010821,5
7081140277083213062,2
7079069070078889221,3
7077597820538146053,1
7076423248698690822,4
7075788593930816773,6
7073510812542913798,4
7073157554024566021,3
7071521897082621189,1
7070550742880292101,2
7067217215925275910,6
7064489288125189382,0
7063459529668742406,4
7062023531764256006,5
7061519229182315781,0
7060887870688529670,4
7059414649581604102,5
7057560274424958214,3
7055714634526969093,4
7055321327174946054,3
7054948838716493061,5
7053545705868152069,0
7052727837165505797,2
7045558641969073414,5
7039259712038112518,0
7038189746484563205,1
7019307301299424518,2
7014030961486630149,2
7001083090462346501,0
6994481888182144262,0
6982843678305897734,1
6972416280762649861,0
6963197595422346502,1
6959192993014287622,0
6952049416425590022,2
6921227616347327749,0
6919824999914245381,2
7597116010528902422,0
7548437152137350422,1
7545851939586723094,2
7537717748512705814,1
7530943991257386262,0
7528439846218550550,0
7524285666692271382,2
7519058140860583190,0
7515407893357759766,7
7511669950990290198,2
7496845046814166294,1
7475687308797299990,0
7470159373935856918,4
7459403430122097942,1
7458331354212666646,2
7455305851092389142,0
7451629003380755734,18
7450432979526012182,0
7439731424854379809,6
7438288130567949601,29
7434514141697625377,1
7433411068988280097,1
7414109220523511073,1
7410754655682153761,0
7407843953539583265,7
7400379104962284832,8
7395950056001572128,0
7393316600922885409,0
7372168611449900321,2
7358820174952172832,1
7356608348030012704,2
7354350552693656864,4
7350310562586283297,1
7343666836812123424,0
7332509276432289057,3
7325862287540096289,0
7324725007391804705,0
7309107806202842400,2
7306559173217488160,0
7261996739446590753,1
7260814503728696602,0
7254588789559938330,0
7606001119243881750,0
7604886753471761686,2
7601164093910715670,1
7587442936376233238,3
7578256886286322966,0
7566676756199951638,2
7560707094018542870,0
7545046455229205782,0
7529427220335496450,0
7516624091097337110,0
7504627479449963798,2
7494230009050139926,0
7491322585624349974,8
7486129539827928342,10
7485773090555956503,2
7484928854029634838,0
7481596789448117526,0
7478735064881237270,3
7348766265927814432,2
7346541062267079968,0
7343923844316548384,0
7303884823578397984,1
7291237498506743072,0
7263733416292617505,3
7256464845132827931,5
7219294434465238298,2
7217888414631283995,4
7215515219164990746,1
7212344637523283205,2
7211165738957163782,4
7207862806899592453,3
7206682386531110149,4
7206680972555750661,1
7040810874281479430,2
7039252769894616326,3
7039005707844308229,2
7038707297396198661,1
7036326405155638533,2
7033466696245497093,10
7026774067223055621,2
7022596866374192390,1
7007863408129215749,0
7004414493086240006,0
6821547365887905030,0
6814175723704683782,0
7584519298459176214,1
7579293926796922134,0
7540185950714875158,0
7533680078866238742,0
7529820615637847318,0
7517676181366295830,1
7490984274049469718,0
7490119511731965206,0
7481977420220779798,1
7479081271746989334,0
7478417820376812822,2
7475816575975623958,0
7471349532496842006,0
7471348371962334486,0
7470212560399109398,0
7468313844230704406,0
7438966885879696662,0
7418133778406657313,1
7415589341981986080,11
7415541670361500961,0
7414059508630031648,2
7413699830469397793,0
7413269884840267040,4
7412939421089090849,0
7410359060681297184,3
7400784701633416481,2
7379167807679761697,3
7353226118662589728,2
7344802060019256609,3
7326857703958105376,0
7324421973612825889,0
7315824288173493536,0
7296417264591441185,1
7296124478130572577,2
7296075013734616353,3
7295785443528920352,2
7294200756586958113,3
7288261263757446433,2
7278716528839626016,1
7255981234374069530,3
7246825881904139546,0
7238904736253054234,0
7219646733901450502,0
7214862934139260166,2
7214113271018753285,7
7213795540574735621,6
7210834532591963398,4
7208933349933452550,7
7208551637869268230,3
7203684040606633222,8
7183332234605268250,5
7175881254233967878,0
7171408287785782533,12
7168426884852747526,0
7158057918431120645,3
7146624079615790341,23
7123931386964184326,12
7120944943270530309,3
7116158724288400645,0
7081711774084484358,1
7079095510904229126,0
7073916316566031622,1
7065372841423801605,1
7064507087086161157,0
7060539961459641605,0
7050043192732912901,0
7042694987141745926,0
7012661937477537030,0
6994839726846971142,4
6979673025503366405,0
6963263758630194437,2
6958424996964355334,0
6922868220890254597,8
6899015791086210306,0
6896055761982639362,5
6895747396404284674,5
6895292772857826562,7
6887883845954178305,2
6883876793380572417,3
6883389583271185666,0
6876369843591941377,2
6869621825035357441,0
6864806467329903878,0
6834056379355991301,0
6798648871401819398,0
6798641094109269253,0
7551820830615899414,0
7330293520395275553,0
7323224822169750816,0
7309113734360780064,0
7307663369090207009,0
7306870694137187616,0
7306460792310877472,0
7305781724238105889,4
7299777182828645664,2
7297256040544931105,0
7279078872455384352,0
7272402191233584417,1
7265677943228075296,6
7265242959048723745,2
7264519435086466336,0
7262363967157226785,1
7261965250864467232,0
7260420548553887002,0
7225641498249891099,7
7225245362678762779,0
7224177146263063835,1
7221550036172213509,14
7214886818368490758,0
7213794863630912773,6
7210067304095173893,0
7209259784263060742,5
7208590550348434694,8
